Column1|name|pos|team|overallRank|positionRank|passAtt|passComp|passIncomp|passYds|passTds|passInt|rushAtt|rushYds|rushTds|rec|recYds|recTds|returnTds|twoPts|fumbles|cost|risk|sdPts|sdPick|passAttPts|passCompPts|passIncompPts|passYdsPts|passTdsPts|passIntPts|rushAttPts|rushYdsPts|rushTdsPts|recPts|recYdsPts|recTdsPts|twoPtsPts|fumblesPts|projectedPts|upside|projectedCost|
222|Chris Givens|WR|STL|232|92|0.04|0|0|0|0|0|1.999967134|10.12193713|0|31.23004504|454.5|1.500021468|0|0|0.830041646|1|9.970129059|30.88512449|47.9|0|0|0|0|0|0|0|1.012193713|0|0|45.45|9.000128809|0|-1.660083292|53.80223923|84.68736372|1|
223|Richard Rodgers|TE|GB|227|33|0|0|0|0|0|0|0|0|0|29|355.35|3.250006996|0|0.1|0|1|5.740346449|31.08984491|15.1|0|0|0|0|0|0|0|0|0|0|35.535|19.50004198|0.2|0|55.23504198|86.32488688|1|
224|Brent Celek|TE|PHI|229|35|0|0|0|0|0|0|0|0|0|30.9999381|385.25|3.000024994|0|0|0.710027406|1.2|5.650644654|21.69715971|NA|0|0|0|0|0|0|0|0|0|0|38.525|18.00014996|0|-1.420054811|55.10509515|76.80225486|2|
225|Brandon Gibson|WR|MIA|231|91|0|0|0|0|0|0|0|0|0|28.55002784|405|2.500062227|0|0|0.585|1|6.530784568|27.32707748|NA|0|0|0|0|0|0|0|0|0|0|40.5|15.00037336|0|-1.17|54.33037336|81.65745084|1|
226|Jermaine Gresham|TE|CIN|228|34|0|0|0|0|0|0|0|0|0|38.4999338|401.95|3.049949068|0|0|1.634800547|1|7.833737945|20.61073637|37.6|0|0|0|0|0|0|0|0|0|0|40.195|18.29969441|0|-3.269601094|55.22509332|75.83582969|1|
227|Jonathan Grimes|RB|HOU|212|64|0|0|0|0|0|0|78.63019165|345.15|2.750007667|12.36446039|83.3|0.650014157|0|0|0.99998125|1|7.953905706|29.93134477|32.9|0|0|0|0|0|0|0|34.515|16.500046|0|8.33|3.900084941|0|-1.9999625|61.24516844|91.17651321|1|
228|Allen Robinson|WR|JAC|235|93|0|0|0|0|0|0|0|0|0|30.99997363|387.45|2.499967753|0|0|1|1|5.827110196|26.40377857|18.6|0|0|0|0|0|0|0|0|0|0|38.745|14.99980652|0|-2|51.74480652|78.14858509|1|
229|Jermichael Finley|TE|NA|236|36|0|0|0|0|0|0|0|0|0|26|336.0000424|3.000008449|0|0|0|1.2|5.975360142|23.77424026|NA|0|0|0|0|0|0|0|0|0|0|33.60000424|18.0000507|0|0|51.60005494|75.3742952|2|
230|Jason Avant|WR|CAR|238|94|0.03|0|0|0|0|0|0|0|0|32.5000501|393.5|1.999947961|0|0|0.650047845|1|5.077761839|18.03264787|NA|0|0|0|0|0|0|0|0|0|0|39.35|11.99968776|0|-1.300095689|50.04959207|68.08223994|1|
231|Allen Hurns|WR|JAC|243|96|0|0|0|0|0|0|0|0|0|30.5|394.5|1.650057991|0|0|0.15|1|6.11471722|24.66565409|NA|0|0|0|0|0|0|0|0|0|0|39.45|9.900347946|0|-0.3|49.05034795|73.71600204|1|
232|Stepfan Taylor|RB|ARI|221|65|0|0|0|0|0|0|80.35|320.9|2.500029285|11.99996984|86.5|0.639178249|0|0|1.000036914|1|4.798416181|28.81000403|9.2|0|0|0|0|0|0|0|32.09|15.00017571|0|8.65|3.835069495|0|-2.000073828|57.57517138|86.38517541|1|
233|C.J. Anderson|RB|DEN|222|66|0|0|0|0|0|0|80.99999194|331.0000438|2.499973685|9.999955572|69.19992136|0.639178249|0|0|0.75|1|5.570787736|27.09902332|16.2|0|0|0|0|0|0|0|33.10000438|14.99984211|0|6.919992136|3.835069495|0|-1.5|57.35490813|84.45393145|1|
234|Brandon LaFell|WR|NE|241|95|0.14|0|0.14|0|0|0|1.000037434|5.500004464|0|28.00004981|366.8093772|2.149969039|0|0|0.400890753|1|6.716997666|26.36180801|25.5|0|0|0|0|0|0|0|0.550000446|0|0|36.68093772|12.89981423|0|-0.801781505|49.32897089|75.6907789|1|
235|Andrew Quarless|TE|GB|240|37|0.13|0|0.04|0|0|0|0|0|0|32.96310082|349|2.589943751|0|0|0.496722121|1|6.143180928|24.84772553|NA|0|0|0|0|0|0|0|0|0|0|34.9|15.53966251|0|-0.993444242|49.44621826|74.29394379|1|
236|Tre Mason|RB|STL|226|67|0.05|0|0|0|0|0|70.225|311.5|1.950000654|11.99995776|99.75|0.738969589|0|0|1.0000288|1|5.735872723|25.56775942|18.4|0|0|0|0|0|0|0|31.15|11.70000393|0|9.975|4.433817532|0|-2.000057601|55.25876386|80.82652328|1|
237|Owen Daniels|TE|BAL|245|38|0|0|0|0|0|0|0|0|0|33|344.675|2.5|0|0|0.6|1|8.003040273|19.29902748|39.7|0|0|0|0|0|0|0|0|0|0|34.4675|15|0|-1.2|48.2675|67.56652748|1|
238|Ted Ginn|WR|ARI|244|97|0|0|0|0|0|0|2.999972218|20.49998396|0|21.5|330|2.000042305|0.5|0|0.713960761|1|5.621949617|21.51360856|NA|0|0|0|0|0|0|0|2.049998396|0|0|33|12.00025383|0|-1.427921521|48.6223307|70.13593926|1|
